census_tract,county,location,population,PollutionScore,pm25,diesel_pm,traffic_density,ozone,asthma,cardiovascular_disease,diabetes,low_birth_weight
6029000701,Kern,Bakersfield,2679,6.046350367,11.17255974,0.217746928,740.604,0.057895369,52.76,21.06,14.0,7.17
6029000702,Kern,Bakersfield,2747,4.268218971,10.87888908,0.046591084,337.843,0.058338745,52.35,21.04,10.2,6.08
6029000800,Kern,Bakersfield,5494,5.17707071,10.7102809,0.086052029,336.61,0.059110705,50.64,20.44,12.6,5.0
6029000902,Kern,Bakersfield,3039,5.134739663,10.62819862,0.0847867,355.479,0.059925914,31.38,14.8,11.2,8.67
6029000903,Kern,Bakersfield,4278,5.436502975,10.54765081,0.080773974,657.84,0.060094357,31.38,14.8,11.6,5.84
6029000904,Kern,Bakersfield,3994,5.655386178,10.47495365,0.222418123,837.427,0.059925914,31.38,14.8,14.1,7.37
6029000905,Kern,Bakersfield,2804,5.839146968,10.40693855,0.210822467,406.569,0.059759298,32.04,14.99,12.6,3.52
6029000906,Kern,Bakersfield,4109,5.159943274,10.43174553,0.053956618,459.022,0.060610845,31.38,14.8,14.2,5.7
6029000907,Kern,Bakersfield,2547,4.798485598,10.2685256,0.061016569,372.174,0.061144505,31.38,14.8,12.0,9.32
6029000908,Kern,Bakersfield,4689,5.172365541,10.38658905,0.048976595,662.456,0.060610845,31.38,14.8,12.3,6.52
6029000909,Kern,Bakersfield,2594,5.174480707,10.3383131,0.097494607,851.639,0.060610845,31.38,14.8,11.4,4.55
6029000911,Kern,Bakersfield,2494,4.678823166,10.20786095,0.083131028,532.039,0.061144505,31.38,14.8,13.6,8.59
6029000912,Kern,Bakersfield,3947,4.245494962,10.01553655,0.054624498,494.337,0.061510099,31.38,14.8,14.3,7.72
6029000913,Kern,Bakersfield,3852,3.919249722,9.750641346,0.055986795,367.776,0.061883753,31.38,14.8,9.2,5.24
6029000914,Kern,Bakersfield,4273,5.039052544,9.616084759,0.016199718,177.147,0.061326306,31.88,15.15,12.1,8.1
6029001001,Kern,Bakersfield,4619,6.71868663,9.670645173,0.0515492,376.319,0.062459735,32.78,16.71,12.7,6.15
6029001002,Kern,Bakersfield,2718,5.363450287,10.13700438,0.061413548,273.052,0.061510099,31.38,14.8,15.1,6.65
6029001003,Kern,Bakersfield,3401,4.479550581,10.00502555,0.059157316,254.461,0.061883753,31.47,14.92,10.2,6.52
6029001101,Kern,Bakersfield,5957,5.635695952,10.21975613,0.160475354,349.78,0.061144505,31.7,15.23,15.7,6.83
6029001104,Kern,Bakersfield,2603,5.341480868,10.26092339,0.110474969,358.628,0.060610845,31.5,14.96,15.9,8.44
6029001105,Kern,Bakersfield,3546,5.620179717,10.33889866,0.127862965,450.38,0.060436802,31.49,14.95,17.2,7.97
6029001106,Kern,Bakersfield,2355,6.100497169,10.60123348,0.282050886,454.858,0.059759298,32.98,15.46,16.6,6.3
6029001107,Kern,Bakersfield,2765,6.107748716,10.37770844,0.245391675,445.843,0.059925914,33.73,15.49,14.8,6.23
6029001201,Kern,Bakersfield,2672,6.136391342,10.7051754,0.220912004,816.769,0.059110705,49.34,20.06,16.5,7.35
6029001202,Kern,Bakersfield,6251,6.495765759,10.67334557,0.441251572,327.962,0.058796863,49.13,20.0,17.8,8.25
6029001301,Kern,Bakersfield,5046,6.827347939,10.91368389,0.323547994,932.661,0.058642489,52.76,21.06,19.0,7.98
6029001302,Kern,Bakersfield,2229,6.577968828,11.31371117,0.458376122,897.148,0.057895369,52.76,21.06,17.9,8.84
6029001401,Kern,Bakersfield,4412,6.145240253,10.9234457,0.182953479,837.93,0.058338745,52.76,21.06,16.0,6.13
6029001402,Kern,Bakersfield,2739,6.168822401,10.7051754,0.202969971,1078.276,0.058952929,51.42,20.67,17.8,9.92
6029001500,Kern,Bakersfield,2903,6.986670187,11.09890175,0.65406919,431.641,0.058189339,49.99,20.59,19.3,7.9
6029001600,Kern,Bakersfield,2335,6.998051533,11.98186556,0.7017773,661.421,0.056781543,80.12,21.16,18.6,5.35
6029001700,Kern,Bakersfield,4522,7.136962319,11.80049634,0.495881943,1273.606,0.056133151,84.4,21.16,10.4,2.22
6029001801,Kern,Bakersfield,5755,6.349953883,11.90663314,0.578564062,1691.111,0.055166512,28.55,12.23,13.5,6.98
6029001803,Kern,Bakersfield,2957,4.980100041,11.49036455,0.158900699,896.922,0.0537649,28.55,12.23,9.5,6.79
6029001804,Kern,Bakersfield,3731,6.013765235,12.20673084,0.2800293,1464.756,0.054387168,28.86,12.46,10.5,3.78
6029001901,Kern,Bakersfield,4046,6.863250201,11.50601101,0.409191792,2108.912,0.055883531,52.5,21.25,12.6,5.16
6029001902,Kern,Bakersfield,4362,7.477788075,11.52892637,0.48916586,984.521,0.056388274,52.8,21.25,12.2,7.11
6029002001,Kern,Bakersfield,3362,7.580318244,11.63065386,0.286284895,979.828,0.057326314,50.16,20.89,20.9,7.33
6029002002,Kern,Bakersfield,4259,7.433559028,11.70924759,0.428726116,951.371,0.056781543,56.08,21.24,20.2,6.93
6029002100,Kern,Bakersfield,3179,7.468084269,11.48637915,0.637600191,928.42,0.057750771,34.41,18.5,19.1,7.88
6029002201,Kern,Bakersfield,2867,7.148389251,11.33869457,0.369382792,1163.003,0.058189339,34.07,18.45,15.3,9.61
6029002202,Kern,Bakersfield,4245,6.134961259,11.29144669,0.161819348,308.084,0.058189339,34.07,18.45,18.7,5.58
6029002302,Kern,Bakersfield,3792,7.280610313,11.19749498,0.135049269,974.339,0.058952929,34.07,18.45,18.0,7.19
6029002303,Kern,Bakersfield,3568,6.531269911,10.45019197,0.209355586,831.026,0.060610845,34.01,18.37,16.8,6.14
6029002304,Kern,Bakersfield,4120,6.233665053,10.7546463,0.310939193,827.609,0.059925914,33.98,18.32,14.7,5.22
6029002305,Kern,Bakersfield,2649,6.980763209,10.89087629,0.242898044,784.97,0.059431466,33.82,18.12,14.6,5.88
6029002401,Kern,Bakersfield,1937,7.514298987,10.19165911,0.030225452,687.296,0.060786796,34.07,18.45,14.1,7.3
6029002402,Kern,Bakersfield,4683,4.407667888,10.68727779,0.019250675,1739.311,0.060264646,34.07,18.45,11.6,4.93
6029002403,Kern,Bakersfield,2863,7.244820866,10.61812503,0.015090319,832.234,0.059594489,34.07,18.45,14.9,4.85
6029002501,Kern,Bakersfield,4288,7.857841223,11.29991388,0.101715555,1332.869,0.058041553,34.07,18.45,18.9,5.05
6029002502,Kern,Bakersfield,1922,4.2640674,11.22961235,0.034204879,230.056,0.058189339,34.07,18.45,17.7,2.97
6029002503,Kern,Bakersfield,2910,5.956185462,11.30368328,0.067076718,351.843,0.058041553,34.07,18.45,17.3,7.57
6029002600,Kern,Bakersfield,3473,7.581986744,11.35345364,0.131934941,1083.528,0.057050959,48.23,20.6,16.1,6.1
